annotator,aae_speaker_identity,regional_background,regional_background_notes,written_aae_familiarity,acknowledgement_consent,acknowledgement_name,item_index,sample_type,aae_text,sae_text,aae_back_text,special_mark,unintelligible_original,semantic_equivalence,sentiment_preservation,semantic_change_notes,original_naturalness,back_naturalness,sentiment,surface_toxicity,completed,last_updated
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,1,unique,I wish i could see dina right now lol i'll be dfl,"I wish I could see Dina right now, lol. I would be dying of laughter.","I wish I could see Dina right now, lol. I'd be dyin.",,,same_meaning,yes,,somewhat_natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-17T21:39:32.339Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,2,unique,If I'm not successful it won't be because i didn't work hard ill tell you that,"If I'm not successful, it won't be because I didn't work hard, I'll tell you that.","If I ain't successful, it ain't gon be cause I didn't work hard, I’mma tell you that.",,,same_meaning,yes,,unnatural_or_noisy,natural,neutral,no_potentially_toxic_wording,yes,2026-05-17T21:45:09.416Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,3,unique,I probalyy mug everybody I see its not no I ont like u shyt its just natural,"I probably glare at everyone I see; it's not that I don't like you, it's just natural.","I probably be mugging everybody I see; it ain't that I don't like you, it just natural.",,,meaning_changed,yes,"""Mug"" means giving someone a mean and intimidating face. 
""Glare"" means openly staring at someone. ",natural,unnatural_or_imitated,neutral,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-17T21:49:46.931Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,4,unique,Every time im texting him my phone be acttin on me,"Every time I am texting him, my phone acts up on me.","Every time I be textin him, my phone act up on me.",,,same_meaning,yes,,natural,natural,negative,no_potentially_toxic_wording,yes,2026-05-17T21:53:03.730Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,5,unique,"All the guys were so nice, someone offered me hooka, but I don't smoke that, and I got free drinks all night","All the guys were so nice; someone offered me hookah, but I don't smoke that, and I got free drinks all night.","All them dudes was so nice; somebody offered me hookah but I don't smoke that, and I got free drinks all night.",,,same_meaning,yes,,unnatural_or_noisy,natural,positive,no_potentially_toxic_wording,yes,2026-05-17T21:55:56.529Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,6,unique,I just got that issue in the mail Solonge is serving up some Diana Ross realness on a platter!,I just received that issue in the mail; Solange is perfectly embodying Diana Ross’s iconic look!,I just got that issue in the mail; Solange really giving Diana Ross!,,,meaning_changed,yes,"- ""Realness on a platter"" refers more to a person authentically embodying the essence, presence, and energy of someone else in this context.
- ""Iconic look"" shrinks that down to only referencing visual apperance ",natural,natural,positive,no_potentially_toxic_wording,yes,2026-05-17T22:00:32.610Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,7,unique,On sum shit like no one can stop my shine or bring me down,I’m in a mindset where no one can stop my success or bring me down.,I’m in a mindset where can’t nobody stop my success or bring me down.,,,meaning_changed,yes,"- ""On sum shit"" refers to active intent and behavioural commitment. 
- ""Mindset"" solely focuses on a mental state/psychological intent.",natural,natural,positive,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-17T22:04:39.458Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,8,unique,Work gone be a bitch today... Ima have to stop hoopin on Sundays....,Work is going to be a struggle today... I am going to have to stop playing basketball on Sundays....,Work finna be a struggle today... I'm gon have to stop hoopin on Sundays....,,,same_meaning,yes,,natural,natural,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-17T22:05:22.208Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,9,unique,"girl ya know ya, got that thang that I like, girl ya know, girl ya know ya, I need ya back in my life, girl ya got that thang forreal","Girl, you know you have that thing that I like; girl, you know, girl, you know that I need you back in my life; girl, you have that thing for real.","Girl, you know you got that thing I like; girl, you know, girl, you know I need you back in my life; girl, you got that thing for real.",,,same_meaning,yes,,natural,unnatural_or_imitated,positive,no_potentially_toxic_wording,yes,2026-05-17T22:07:37.624Z
annotator_3,yes,multiple_or_other,"I can understand AAE from the Southern, Midwest, Northeast, and West Coast. But I'd say my ability lies mostly in Northeast.",very_familiar,name_ok,,10,unique,Anigga you grow up wit all yo life get hit up you dont go see da man call'em check up on him nun I can only imagine how you feel bout me,"A person you grew up with your whole life gets shot, and you don't go see him, call him, or check on him at all; I can only imagine how you feel about me.","Somebody you grew up with your whole life get shot and you don’t go see him, call him, or check on him at all; I can only imagine how you feel about me.",,,same_meaning,yes,,natural,unnatural_or_imitated,negative,potentially_toxic_wording_non_toxic_meaning,yes,2026-05-17T22:12:18.806Z
