aae_text,sentiment
NO LEBRON MAKE DA TEAM BETTER WADE GOT NO INS ON THAT!,negative
": Simba was walking too slow, so I told him to Mufasa.",ERROR
"If u push da right buttons, she gone dance without da bands lol",neutral
MASQUARE AFFAIR THIS SUNDAY AT CLUB SHO =] TURN UP....WEAR A MASQUERADE MASK,positive
Omg y ending like that so sad but luv every min malik will b back #TheGameFinale,negative
"yao you cld paid over $200 just posting on twitter, let me know if your interested",positive
cause you look like a Brandon ! And the same reason you call me Brenda,negative
Owww this baby in front of me smell like shit. His nasty ass,negative
Through it all I've been drawn closer than ever to my King and Savior... Also indescribable. ..,positive
Girls say its bad for a dude to talk to alot of girls but they do it,positive
hahaha weak ass I txt u nd u told me #ithink haha. Imma whoop yo ass when I c u...,negative
At my granny house finna leave and go wit my cuzzins again,positive
i need a new jersey home dawg i gotta get it,neutral
My lil boy Who i luv the most ..fuck a luv life..,negative
"Bitch Thtss Why Yo Dumbass Need Too Stay Inn School Stupidd , Bt Imuu :)",negative
I Was Looking For Q Ass Today But He Wasn't Out They,negative
"george zimmerman pulling out tools on his wife and his father in law , but he innocent , fuck you .",negative
I seen something the other day that was disturbing to me.,negative
Can do better wanna put everything on me like I'm bad Kmsl,negative
Yoo me be his mother was on the phone for 2 hrs just laughing about mad shit,positive
the same old hoes still doing the same old shit smh sick bitches,negative
Missing da football league bk home... Gonna b bk in top form,positive
"I went for a $2 hat. Left with 2 hats, an outfit, and a lot of random shit on clearance.",positive
Don't play wit my feelings your liable to get your ass whooped or shot if u a nigga,negative
Damn u sexy ass fuck and u have a nice ass body can i get to know u better i would love to give u this phat dick all nite,negative
"I'll put this thang on you , I'll blow your mind out .",negative
"hell yeah just got that sane text lmao : Phone bill due in 3 days, DAMN!",positive
Shawty got my back like she Minnie mouse doh. Gotta love dat.,positive
lol I'm Talking About Till The School Year Over She Aint Going There Next Year && Yea,negative
"I Understand iWas A Bad Friend & All, But We Are Too Fuckin Grown..It's Either We Be Grown & Live OUTSIDE Of The Past Or You Stay In Da Past",negative
"Lol people asking me about my bae"" ion talk to anyone lol .. STOP TAKING MY TWEETS SERIOUSLY !",ERROR
"Saw a girl today who looked like ran up to her, saw it wasn't her, turned around walked away like O""....>_>...FDB...*Hits dance*",negative
I remember when i stole this bike. That shit was the worst.,neutral
Lol cos I ain't got No friends and everybody I need be next to me Lol.,neutral
