tweet_id,aae_text,golden_sentiment,annotator_source,resolution_method,needs_adjudication,deepseekr1_pred,gemma3_pred,llama31_70b_pred,mistral31_pred,phi3_medium_pred,phi4_pred
A1_001,"Mm. Good Night, I'll Talk to #Oomf In the afternoon or when we get together tomorrow.r#KJMOVEMENT (:",positive,A1_Osakpolor,single_annotator,False,neutral,neutral,positive,neutral,neutral,positive
A1_002,Can't find a job so I'm on da block I'm not going for broke for nobody,neutral,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_003,"nah ion remember that, you tryna play me. And besides I ain't got no money lol you needa be payin for me since it was my bday",negative,A1_Osakpolor,single_annotator,False,negative,negative,neutral,negative,negative,negative
A1_004,Got My Forces . Order Three Pair Of Shoes Today ! I Need One More . . To Last Through September .,positive,A1_Osakpolor,single_annotator,False,negative,positive,neutral,positive,neutral,positive
A1_005,"Meet Me In The Stars W. A Blunt Rolled Up , None Of These Stars Got Shit On Us",positive,A1_Osakpolor,single_annotator,False,negative,negative,neutral,negative,negative,positive
A1_006,I'm sorry but you got my fucked up Witj yo ugly ass,negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,negative
A1_007,you sooo right kiddo so make sure you treat your girl right bc good girls are hard to come by!,positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,positive,positive,positive
A1_008,If Yu Aint To Really Settle Dwn Den Let Me Knw Ill Move On Ion Give No Fuck Im Not Fixin To Waste My Time Dealin Wit Childish Shit...,negative,A1_Osakpolor,single_annotator,False,positive,negative,negative,negative,negative,negative
A1_009,"Congratulations to Jamies Winston on winning the Heisman Trophy, can't keep that nigga down man!",positive,A1_Osakpolor,single_annotator,False,positive,negative,negative,positive,positive,positive
A1_010,"I love you in the game. you are so fly, and super sexy",positive,A1_Osakpolor,single_annotator,False,negative,positive,positive,positive,positive,positive
A1_011,"Women are taking the word class"" very lightly.Either you have it or you don't theirs no in the middle ...",neutral,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,negative,neutral
A1_012,A beautiful thing may die before due time so cherish it will its here,positive,A1_Osakpolor,single_annotator,False,positive,positive,positive,negative,positive,positive
A1_013,This lil head nigga wakes me up then goes to sleep on me he luck he got practice in a few hours,positive,A1_Osakpolor,single_annotator,False,neutral,negative,neutral,negative,negative,negative
A1_014,She on my mind....but she got someone else on hers....smh,negative,A1_Osakpolor,single_annotator,False,neutral,negative,neutral,negative,negative,negative
A1_015,you from the 312 I'm from that 904 and 256 bruh I fucks wit florida,positive,A1_Osakpolor,single_annotator,False,negative,positive,neutral,neutral,neutral,positive
A1_016,"He say when he see me He gon Blaaaassst, but I kno he won't",negative,A1_Osakpolor,single_annotator,False,negative,negative,negative,negative,neutral,negative
